Life expectancy ,Adult Mortality,infant deaths,Status
82.8,59,1,0
82.7,6,1,0
82.5,61,1,0
82.3,61,1,0
82,63,1,0
81.9,64,1,0
81.7,66,1,0
81.3,66,1,0
81.3,66,1,0
81.2,66,1,0
81,67,1,0
86,69,1,0
83,71,1,0
79.9,73,1,0
79.9,75,1,0
79.5,78,1,0
81.5,65,0,0
81.4,66,0,0
81.1,68,0,0
88,7,0,0
88,73,0,0
84,75,0,0
82,77,0,0
84,76,0,0
81,8,0,0
79.8,81,0,0
79.4,85,0,0
79.3,86,0,0
78.8,88,0,0
78.7,9,0,0
78.6,92,0,0
78.1,96,0,0
81.1,74,0,0
89,76,0,0
87,77,0,0
83,78,0,0
83,8,0,0
80,81,0,0
79.8,85,0,0
79.5,87,0,0
79.5,86,0,0
79.4,85,0,0
78.9,89,0,0
78.8,91,1,0
78.3,95,0,0
78,99,1,0
78,1,1,0
77.6,11,1,0
74.5,137,0,0
74.3,138,1,0
74.1,14,1,0
73.9,139,1,0
73.7,144,1,0
73.4,147,1,0
73.2,152,1,0
72.9,155,1,0
72.6,157,1,0
72.2,161,1,0
72.1,16,1,0
72.2,157,1,0
72,155,1,0
71.8,157,1,0
71.6,16,1,0
71.1,163,1,0
78,95,0,0
77.8,97,0,0
77.7,97,0,0
77.1,14,0,0
77,14,0,0
76.6,16,0,0
76.3,19,0,0
76,116,0,0
75.8,114,0,0
75.9,113,0,0
75.2,116,0,0
75.4,114,0,0
74.7,122,0,0
74.8,124,0,0
74.9,126,0,0
74.7,127,0,0
85,52,0,0
83,53,0,0
81,54,0,0
80,56,0,0
79.7,57,0,0
79.5,59,0,0
79.3,6,0,0
79.1,62,0,0
78.9,63,0,0
78.8,64,0,0
78.7,65,0,0
78.6,65,0,0
78.5,66,0,0
78.4,68,0,0
78.2,69,0,0
78.1,7,0,0
78.8,86,0,0
78.6,88,0,0
78.2,9,0,0
78,93,0,0
77.8,97,0,0
77.5,99,0,0
77.1,12,0,0
77,16,0,0
76.8,17,0,0
76.5,19,0,0
75.9,114,0,0
75.8,116,0,0
75.2,122,0,0
75.3,12,0,0
75.1,123,0,0
74.7,126,0,0
86,71,0,0
84,73,0,0
81,75,0,0
80,76,0,0
79.7,79,0,0
79.2,84,0,0
78.9,86,0,0
78.8,88,0,0
78.4,93,0,0
78.1,93,0,0
78.1,92,0,0
77.7,98,0,0
77.3,11,0,0
77,14,0,0
77,12,0,0
76.9,12,0,0
81,68,2,0
89,69,2,0
86,71,2,0
86,71,2,0
85,74,2,0
81,76,2,0
80,79,2,0
79.9,8,2,0
79.8,82,3,0
79.6,84,3,0
79.2,85,3,0
79.1,86,3,0
78.5,9,3,0
78.4,91,3,0
78.3,92,3,0
78,95,3,0
75.8,134,0,0
75.6,137,0,0
75.5,139,0,0
75,146,0,0
74.8,15,0,0
74.5,156,0,0
74.2,162,0,0
74.1,165,1,0
73.5,176,1,0
73.4,177,1,0
72.9,182,1,0
72.9,18,1,0
72.5,184,1,0
72.5,184,1,0
72.3,185,1,0
71.7,193,1,0
82.7,49,0,0
82.5,49,0,0
82.4,5,0,0
82.5,5,0,0
82.1,51,0,0
81.8,53,0,0
81.6,55,0,0
81.4,58,0,0
81.3,59,0,0
81.1,61,0,0
81,62,0,0
88,65,0,0
87,65,0,0
84,7,0,0
80,72,0,0
79.7,74,0,0
81.4,64,0,0
81.2,66,0,0
81,67,0,0
85,69,0,0
84,7,0,0
86,68,0,0
79.7,77,0,0
79.8,75,0,0
79.5,75,0,0
79,78,0,0
78.7,78,0,0
78.3,82,0,0
78,82,0,0
77.4,88,0,0
77,89,0,0
76.4,94,0,0
82.7,56,1,0
82.5,57,2,0
82.3,58,2,0
82,6,2,0
82,6,2,0
81.8,6,2,0
81.6,61,2,0
81.5,61,2,0
81.3,63,2,0
81.2,65,2,0
88,66,2,0
